categorie,texte,medicament1,medicament2,astuce,cat_base,texte_proc
tazomoka,Mangovitra be aho ary Voan ny tazomoka 39 degre ny hafanako hatramin ny omaly,Artésunate : 1x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,mangovitra be aho ary voan ny tazomoka 39 degre ny hafanako hatramin ny omaly tazo avy amin ny kaikitry ny moka
aretin-tanana,Misy arthrose eo amin ny tanako efa 6 andro lasa izay,Diclofénac 50 mg : 2x/andro (maraina-hariva),Myorelaxant : 1x/andro (hariva),Mitsahara ary aza mampiasa ny tanana ela loatra,aretin-tanana,misy arthrose eo amin ny tanako efa andro lasa izay
aretin-kibo,Misy fanaintainana ao amin ny kiboko hatramin'ny 9 ora,Ranitidine 150 mg : 2x/andro (maraina-hariva),Dompéridone : 3x/andro alohan ny sakafo,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,misy fanaintainana ao amin ny kiboko hatramin'ny ora marary manaintaina mangirifiry kibo kibony
aretin-tongotra,Manaintaina ny tongotro ary misy gonflement efa 6 andro lasa izay,Naproxène 500 mg : 2x/andro (maraina-hariva),Ibuprofène gel : mametraka 2x/andro,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tongotra,manaintaina ny tongotro ary misy gonflement efa andro lasa izay marary mangirifiry fanaintainana tongotra lohalika ratsan-tongotra
aretin-tanana,Tanana marary ary sarotra ny mihetsika inona ny tokony hatao?,Naproxène 500 mg : 2x/andro mandritra ny 5 andro,Myorelaxant : 1x/andro (hariva),Mitsahara ary aza mampiasa ny tanana ela loatra,aretin-tanana,tanana marary ary sarotra ny mihetsika inona ny tokony hatao tananako ankihibe ratsan-tanana manaintaina mangirifiry fanaintainana
kohaka,Kohaka sy filatsahan-dranomaso no mahazo ahy efa 6 andro lasa izay,Sirop toux (Toplexil) : 3x/andro (maraina-atoandro-hariva) mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro (maraina),Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,kohaka,kohaka sy filatsahan-dranomaso filatsahan dranomaso no mahazo ahy efa andro lasa izay mikohaka
aretim-po,Inona no atao raha misy fanafihana eo amin ny foko ary amin ny sandry mandritra ny 2 andro?,Atorvastatine 10 mg : 1x/andro (hariva),Aspirine 75 mg : 1x/andro (maraina),Mitsahara tsara ary aza manao fanatanjahan-tena mavesatra,aretim-po,inona no atao raha misy fanafihana eo amin ny foko ary amin ny sandry mandritra ny andro fo
aretin-doha,Inona no atao raha manaintaina ny lohako isakin'ny maraina hatramin'ny maraina?,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Paracétamol 500 mg : 3x/andro raha ilaina,Misotroa rano betsaka ary mila matory ampy 7-8 ora isan alina,aretin-doha,inona no atao raha manaintaina ny lohako isakin'ny maraina hatramin'ny maraina marary mangirifiry fanaintainana loha lohany
aretin-tenda,Manaintaina mafy ny tendako mandritra ny andro manontolo ahoana ny fitsaboana?,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana ary matoria amin ny toerana mafana,aretin-tenda,manaintaina mafy ny tendako mandritra ny andro manontolo ahoana ny fitsaboana marary mangirifiry fanaintainana tenda tendany marary tenda
aretin-tanana,Misy aretin-tanana mafy aho hatramin'ny 9 ora,Kétoprofène gel : mametraka 3x/andro,Paracétamol 500 mg : raha ilaina,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tanana,misy aretin-tanana aretin tanana mafy aho hatramin'ny ora tananako ankihibe ratsan-tanana
diabeta,Siramamy ambony ary mitebiteby foana aho ahoana ny fitsaboana?,Metformine 850 mg : 2x/andro (maraina-hariva),Vitamine B12 : 1x/andro (maraina),Aza mihinana sakafo misy siramamy be ary mihinana akondro kely,diabeta,siramamy ambony ary mitebiteby foana aho ahoana ny fitsaboana
aretin-tenda,Misy infection ao amin ny tendako hatramin'ny herinandro,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Spray antiseptique amin ny tendako : 3x/andro,Misotroa rano mafana ary matoria amin ny toerana mafana,aretin-tenda,misy infection ao amin ny tendako hatramin'ny herinandro tenda tendany marary tenda
aretin-tsaina,Mitebiteby foana aho ary very hery hatramin'ny 9 ora,Zolpidem : 1x/andro (hariva) mandritra ny 10 andro,Mélatonine 5 mg : 1x/andro (hariva),Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,mitebiteby foana aho ary very hery hatramin'ny ora
aretin-doha,Inona no atao raha tsy mahazaka ny mazava aho noho ny migraine mandritra ny 2 andro?,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro raha ilaina,Mila miala sasatra tsara ary aza mihinana sakafo mafana be,aretin-doha,inona no atao raha tsy mahazaka ny mazava aho noho ny migraine mandritra ny andro
tazo,Inona no atao raha mafana ny vatako ary manaintaina?,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Misotroa rano betsaka 3L isan andro ary matoria tsara,tazo,inona no atao raha mafana ny vatako ary manaintaina tazo manavy mamay marary mangirifiry fanaintainana
aretin-tongotra,Manaintaina ny tongotro ary misy gonflement mandritra ny andro manontolo,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Asio ranomandry rehefa mivonto ary sasao tsara ny tongotro,aretin-tongotra,manaintaina ny tongotro ary misy gonflement mandritra ny andro manontolo marary mangirifiry fanaintainana tongotra lohalika ratsan-tongotra
aretin-urinaire,Misy infection urinaire mandritra ny 2 andro,Triméthoprime-Sulfaméthoxazole : 2x/andro mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano betsaka 2-3L isan andro,aretin-urinaire,misy infection urinaire mandritra ny andro
aretin-pivalanana,Inona no atao raha misy gastro-entérite aho hatramin ny omaly?,Smecta : 3 sachets isan andro mandritra ny 3 andro,Charbon activé : 2 comprimés 3x/andro,Aza mihinana voankazo manta,aretin-pivalanana,inona no atao raha misy gastro-enterite gastro enterite aho hatramin ny omaly
aretin-tongotra,Mivonto ny tongotrako hatramin ny omaly,Naproxène 500 mg : 2x/andro (maraina-hariva),Myorelaxant : 1x/andro (hariva),Asio ranomandry rehefa mivonto ary sasao tsara ny tongotro,aretin-tongotra,mivonto ny tongotrako hatramin ny omaly
aretin-tanana,Misy fanaintainana amin ny poignetko hatramin'ny 9 ora ahoana ny fitsaboana?,Naproxène 500 mg : 2x/andro mandritra ny 5 andro,Gel anti-inflammatoire : mametraka 2x/andro,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tanana,misy fanaintainana amin ny poignetko hatramin'ny ora ahoana ny fitsaboana marary manaintaina mangirifiry
aretin-doha,Mangorakoraka ny lohako ary tsy mahita tory aho hatramin'ny alina,Sumatriptan : 1x/andro raha ilaina,Aspirine 500 mg : raha ilaina,Aza mijery solosaina na finday ela loatra,aretin-doha,mangorakoraka ny lohako ary tsy mahita tory aho hatramin'ny alina loha lohany
diabeta,Inona no atao raha misy siramamy be ny vatako ary mitebiteby foana aho noho izany hatramin'ny 9 ora?,Insuline : araka ny torohevitry ny dokotera,Vitamine D : 1x/andro (maraina),Mihinana sakafo manankarena fibre ary aza mihinana siramamy be,diabeta,inona no atao raha misy siramamy be ny vatako ary mitebiteby foana aho noho izany hatramin'ny ora
kohaka,Tsy mitsahatra ny kohakako hatramin'ny maraina,Ambroxol sirop : 3x/andro mandritra ny 5 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,tsy mitsahatra ny kohakako hatramin'ny maraina
tazo,Ambony ny hafanan ny vatako ary mangovitra be aho hatramin ny omaly ahoana ny fitsaboana?,Paracétamol 1000 mg : isaky ny 6 ora raha 38.5 degre mihoatra,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria tsara ary miala manaova mafana tsara,tazo,ambony ny hafanan ny vatako ary mangovitra be aho hatramin ny omaly ahoana ny fitsaboana
aretin-kibo,Inona no atao raha misy ulcère ny kiboko?,Pantoprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Mampihena ny adin-tsaina ary manaova fanatanjahan-tena maivana,aretin-kibo,inona no atao raha misy ulcere ny kiboko kibo kibony
aretin-tratra,Misy infection pulmonaire aho mandritra ny andro manontolo,Azithromycine 500 mg : 1x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Asio menaka mafana ny tratra isan'andro,aretin-tratra,misy infection pulmonaire aho mandritra ny andro manontolo
aretin-doha,Marary ny lohako aorian ny fijerena solosaina hatramin'ny 9 ora inona ny tokony hatao?,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Aspirine 500 mg : raha ilaina,Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,marary ny lohako aorian ny fijerena solosaina hatramin'ny ora inona ny tokony hatao manaintaina mangirifiry fanaintainana loha lohany
kohaka,Mikohaka ary tsy mahazo aina tsara aho hatramin'ny 9 ora ahoana ny fitsaboana?,Ambroxol sirop : 3x/andro mandritra ny 5 andro,ORS : misotroa betsaka,Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,mikohaka ary tsy mahazo aina tsara aho hatramin'ny ora ahoana ny fitsaboana kohaka
areti-maso,Masoko marary ary misy very ny fahitako hatramin'ny 9 ora ahoana ny fitsaboana?,Tobramycine collyre : 4x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Aza mampiasa makiazy mandritra ny fitsaboana ary diovy foana ny tanana,areti-maso,masoko marary ary misy very ny fahitako hatramin'ny ora ahoana ny fitsaboana maso masony manaintaina mangirifiry fanaintainana
aretin-doha,Misy tsindry eo amin ny lohako mandritra ny 2 andro,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Paracétamol 500 mg : 3x/andro raha ilaina,Manaova fanatanjahan-tena maivana ary misotroa rano betsaka,aretin-doha,misy tsindry eo amin ny lohako mandritra ny andro tosi-dra hypertension loha lohany
aretin-tongotra,Misy arthrose eo amin ny lohalikako hatramin'ny maraina ahoana ny fitsaboana?,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Gel anti-inflammatoire (Voltaren) : mametraka eo amin ny toerana marary 2x/andro,Mitsahara ary aza mitsangana ela loatra,aretin-tongotra,misy arthrose eo amin ny lohalikako hatramin'ny maraina ahoana ny fitsaboana
aretin-doha,Inona no atao raha marary be ny lohako hatramin'ny 9 ora?,Sumatriptan : 1x/andro raha ilaina,Métoclopramide : 3x/andro raha misy alahelo,Mila miala sasatra tsara ary aza mihinana sakafo mafana be,aretin-doha,inona no atao raha marary be ny lohako hatramin'ny ora manaintaina mangirifiry fanaintainana loha lohany
aretin-tratra,Marary ny tratrako ary mafana be ny vatako hatramin'ny 9 ora,Prednisolone 20 mg : 1x/andro (maraina) mandritra ny 5 andro,Sirop toux : 3x/andro (maraina-atoandro-hariva),Misotroa rano mafana foana ary matoria tsara,aretin-tratra,marary ny tratrako ary mafana be ny vatako hatramin'ny ora manaintaina mangirifiry fanaintainana tratra tazo manavy mamay
areti-maso,Misy fanaintainana ao amin ny masoko mandritra ny 2 andro,Chloramphénicol collyre : 4x/andro mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Matoria tsara ary aza mijery finday sy solosaina lava,areti-maso,misy fanaintainana ao amin ny masoko mandritra ny andro marary manaintaina mangirifiry maso masony
fiakaran-ny-tosi-dra,Ambony be tosi-drako hatramin'ny herinandro,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Aza mihinana sakafo misy sira be,fiakaran-ny-tosi-dra,ambony be tosi-drako tosi drako hatramin'ny herinandro
diabeta,Inona no atao raha diabeta type 2 no misy ahy hatramin'ny herinandro?,Metformine 500 mg : 2x/andro (maraina-hariva) mandritra ny 3 volana,Vitamine D : 1x/andro (maraina),Aza mihinana sakafo avy any ambanin ny tany matetika,diabeta,inona no atao raha diabeta type no misy ahy hatramin'ny herinandro fiakaran ny siramamy fidinan ny siramamy
aretin-tenda,Tendako marary mafy ary misy siflema hatramin ny omaly,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Pastilles pour gorge : matetika isan andro,Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,aretin-tenda,tendako marary mafy ary misy siflema hatramin ny omaly tenda tendany marary tenda manaintaina mangirifiry fanaintainana
aretin-tratra,Inona no atao raha manaintaina ny tratrako rehefa miaina?,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Sirop toux : 3x/andro (maraina-atoandro-hariva),Matoria tsara ary aza mivoaka amin ny rivotra mangatsiaka,aretin-tratra,inona no atao raha manaintaina ny tratrako rehefa miaina marary mangirifiry fanaintainana tratra
fiakaran-ny-tosi-dra,Ambony be ny tosi-drako ary misy migraine be aho hatramin'ny maraina,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro (maraina),Mampihena ny stress ary misotroa rano betsaka,fiakaran-ny-tosi-dra,ambony be ny tosi-drako tosi drako ary misy migraine be aho hatramin'ny maraina
aretin-doha,Inona no atao raha mangorakoraka ny lohako ary tsy mahita tory aho?,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,inona no atao raha mangorakoraka ny lohako ary tsy mahita tory aho loha lohany
tazomoka,Voan ny tazomoka ary reraka be aho hatramin'ny herinandro,Artéméther injection : araka ny dokotera,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,voan ny tazomoka ary reraka be aho hatramin'ny herinandro tazo avy amin ny kaikitry ny moka
aretin-kibo,Inona no atao raha misy fanaintainana kiboko sy mandrevo efa 6 andro lasa izay?,Pantoprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Dompéridone : 3x/andro alohan ny sakafo,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,inona no atao raha misy fanaintainana kiboko sy mandrevo efa andro lasa izay marary manaintaina mangirifiry kibo kibony mivalanana mivalan-tay
tazomoka,Misy tazomoka ary manaintaina ny vatako mandritra ny andro manontolo,Artéméther injection : araka ny dokotera,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,misy tazomoka ary manaintaina ny vatako mandritra ny andro manontolo tazo avy amin ny kaikitry ny moka marary mangirifiry fanaintainana
tazomoka,Voan ny tazomoka ary aùbony be ny degre ny mari panako ary reraka mafy aho hatramin'ny 9 ora,Artésunate : 1x/andro mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka ary aubony be ny degre ny mari panako ary reraka mafy aho hatramin'ny ora tazo avy amin ny kaikitry ny moka
aretin-tratra,Misy fanaintainana eo amin ny tratrako hatramin'ny alina,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano betsaka ary aza mihinana ranomandry,aretin-tratra,misy fanaintainana eo amin ny tratrako hatramin'ny alina marary manaintaina mangirifiry tratra
aretin-tenda,Inona no atao raha misy angine be aho hatramin'ny alina?,Benzidamine spray : 3x/andro amin ny tendako,Pastilles pour gorge : matetika isan andro,Gargarisa rano mafana misy sira 3x isan andro,aretin-tenda,inona no atao raha misy angine be aho hatramin'ny alina
tazomoka,Inona no atao raha voan ny tazomoka ary aùbony be ny degre ny mari panako ary reraka mafy aho hatramin'ny herinandro?,Quinine : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,inona no atao raha voan ny tazomoka ary aubony be ny degre ny mari panako ary reraka mafy aho hatramin'ny herinandro tazo avy amin ny kaikitry ny moka
aretin-tsaina,Inona no atao raha mitebiteby be aho ary tsy mahazo matory?,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Vitamine B12 : 1x/andro (maraina),Ahenao ny fampiasana solosaina sy finday amin ny alina,aretin-tsaina,inona no atao raha mitebiteby be aho ary tsy mahazo matory
aretin-tongotra,Misy fanaintainana be ny chevilleko mandritra ny andro manontolo,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Myorelaxant : 1x/andro (hariva),Mitsahara ary aza mitsangana ela loatra,aretin-tongotra,misy fanaintainana be ny chevilleko mandritra ny andro manontolo marary manaintaina mangirifiry
kohaka,Mikohaka ary mafana kely ny vatako efa 6 andro lasa izay misy fanafody ve?,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : raha ilaina,Matoria amin ny toerana mafana ary misotroa rano betsaka,kohaka,mikohaka ary mafana kely ny vatako efa andro lasa izay misy fanafody ve kohaka tazo manavy mamay
tazomoka,Voan ny tazomoka ary mitebiteby be aho hatramin'ny alina,Artéméther injection : araka ny dokotera,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka ary mitebiteby be aho hatramin'ny alina tazo avy amin ny kaikitry ny moka
aretin-tanana,Manaintaina ny tanako ary mivonto hatramin'ny 9 ora,Kétoprofène gel : mametraka 3x/andro,Ibuprofène gel : mametraka eo amin ny toerana marary,Mampiasa attelle raha ilaina ary mitsahara,aretin-tanana,manaintaina ny tanako ary mivonto hatramin'ny ora marary mangirifiry fanaintainana
aretin-tenda,Inona no atao raha manaintaina ny tendako ary mikohaka aho?,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Gargarisa rano mafana misy sira 3x isan andro,aretin-tenda,inona no atao raha manaintaina ny tendako ary mikohaka aho marary mangirifiry fanaintainana tenda tendany marary tenda kohaka
aretin-tongotra,Tsy mahay mandeha tsara aho hatramin'ny alina,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Diclofénac gel : mametraka 3x/andro,Mampiasa gel anti-inflammatoire ary mitsahara tsara,aretin-tongotra,tsy mahay mandeha tsara aho hatramin'ny alina
areti-maso,Mena ny masoko ary mitsory ny ranomasoko hatramin ny omaly misy fanafody ve?,Tobramycine collyre : 4x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Sasao ny maso amin ny rano madio ary aza mikasika zavatra maloto be loatra,areti-maso,mena ny masoko ary mitsory ny ranomasoko hatramin ny omaly misy fanafody ve maso masony
aretin-pivalanana,Mandrevo matetika aho ary reraka hatramin'ny 9 ora,Racécadotril 100 mg : 3x/andro mandritra ny 5 andro,Paracétamol 500 mg : 3x/andro raha misy tazo,Aza mihinana sakafo be menaka,aretin-pivalanana,mandrevo matetika aho ary reraka hatramin'ny ora mivalanana mivalan-tay
